Number,Name,Country
1,Joshua,US
2,Paul,GB
3,Anne,GB
4,Richard,GB
5,Joshua,GB
6,Yang,US
7,Peter,SK
8,Esteban,US
9,Thomas,CA
10,William,CA
11,Simon,GB
12,WTF4,GB
13,Gerald,US
14,Tim,US
15,Chad,US
16,Beto,BR
17,Simon,GB
18,Keith,US
19,BoltUpright,US
20,Juan,US
21,Nick,US
22,Omer,US
23,Taha,TN
24,Andy,GB
25,Mike,GB
26,Sami,GB
27,Felix,DE
28,Preben,DK
29,Stephan,AT
30,Erik,SE
31,Danielson,SE
32,Darius,LT
33,Ahmed,BH
34,Patrick,DE
35,Fredrik,SE
36,Chris,GB
37,Paul,GB
39,Darren,AU
40,Christopher,GB
41,Alan,GB
42,Jonathan,US
43,Chris,GB
45,Susan,GB
46,Rune,DK
47,Loo,MY
48,Scott,AU
49,Mark,GB
50,Pierre,FR
51,Scribblescribe,US
52,Jakob,DK
53,Maradan,FR
54,Jameson,GB
55,Christian,GB
56,Roberto,ES
57,Evangelos,GR
58,Jon,US
59,Michal,GB
60,Charles,US
61,Marc,GB
62,Adrian,NZ
63,Andrew,GB
64,Brice,GB
65,Aleksi,FI
66,Haggo,DE
67,Peter,AU
68,Andrew,GB
69,Paul,AU
70,Grisha,GB
71,Sean,GB
72,Allard,NL
73,Amanda,GB
74,Jasper,GB
75,Jason,AU
76,Álex,ES
77,Stefano,IT
78,Cameron,AU
79,Nikolas,DE
80,Simon,GB
81,Frederik,DK
82,Brad,US
83,Marc,CA
84,Zebulon,US
85,Jon,GB
87,Wworq,US
88,Christian,DK
89,Michael,AU
91,Taylor,US
92,Daniel,IE
93,Thomas,US
94,Rex,GB
95,Govind,GB
96,Thomas,US
97,Quentin,FR
98,Mark,GB
99,Jakub,GB
101,Vincent,NL
102,David,US
103,Martijn,NL
104,Daniel,ES
105,Stephen,GB
106,Steven,CA
107,Richard,US
108,Tyler,US
109,Kimen,ES
110,Miguel,PT
111,Sam,GB
112,John,US
114,bitmap,US
115,Hugh,CA
116,David,MX
117,Levi,US
118,Matt,US
119,Jerry,US
120,Jamie,GB
121,Sean,US
122,Conrad,US
124,Claes,SE
125,Andrew,US
126,Jani,FI
127,Tom,GB
128,Matthew,US
129,Sebastien,FR
130,Patrick,US
131,20drigo,US
132,Tony,GB
133,Aaron,CA
134,Alan,US
135,Bespite,US
136,Andrew,US
137,Nancy,US
138,Matt,GB
139,Tomi,FI
140,Jonathan,GB
141,Jennifer,US
142,kicklix,DE
143,Hobbes,GB
144,Max,US
145,Calvin,GB
146,Shane,CA
147,Tim,US
148,James,US
149,Hans,DK
150,John,US
151,David,US
152,Wade,US
153,Michael,DE
154,Gregory,CH
155,Chris,GB
156,Peter,IE
157,Paul,GB
158,Willem,GB
160,Rune,DK
161,Brian,US
162,Sean,US
164,Pyroswarm,CA
165,JB,US
166,Dan,US
167,You,US
168,William,US
170,Mollie,AU
171,OlsenAnders,RU
172,Richard,GB
173,Rik,GB
174,Ross,AU
175,Tomáš,CZ
176,Bjørn,NO
177,Leroy,US
178,Irrevenant,AU
179,Michael,NL
180,Zimbad,GB
181,Marc,US
182,Christopher,US
183,Jonathan,US
184,Andre,PT
185,Seth,US
186,Gregory,US
187,Fredrik,SE
188,Pablo,ES
189,Mike,US
190,Robert,US
191,Ben,US
192,Bradley,US
193,Samuel,US
195,John,US
196,Jessie,US
197,Kevin,US
198,Mike,US
199,Wendy,US
200,Joel,AU
201,Luc,BE
202,Marwan,FR
203,Tomáš,SK
205,Martin,AT
206,Mario,ES
207,Devin,US
209,Kevin,GB
210,Zachary,IE
211,Isaac,US
212,Daniel,GB
213,Scott,US
214,Keith,US
215,Adam,US
216,Dominic,US
217,oculist,GB
218,James,GB
220,Rob,US
222,Brandon,US
223,Juan,ES
224,Curt,CA
225,Marco,GB
226,Jani,FI
227,Diogo,PT
228,Benjamin,AR
229,Cometary,US
230,Alan,US
231,Arnaud,BE
232,Robert,GB
233,Michael,US
234,Niels,DE
235,Nicholas,US
236,Aaron,US
238,Sven,SE
239,John,GB
241,SirosSinner,US
242,Vivian,CA
243,Hugo,US
244,Waqas,GB
245,Cass,GB
246,Brian,US
247,Marin,US
248,James,US
249,Yiğit,TR
250,Jack,GB
251,nml.121,TH
252,Kris,US
253,Benjamin,US
254,James,US
255,LyhjeHylje,FI
256,John,US
257,Ryan,US
258,airlemental,US
259,Corry,US
260,Pedro,PT
261,Joe,US
262,Jenny,US
263,justajeffy,CA
264,Sean,GB
265,Magnus,US
266,Dave,US
267,Mark,US
268,9LittleBees,GB
269,Doug,GB
270,Christian,EC
271,John,US
272,Jeremiah,US
273,Caleb,US
274,Lariel,AT
275,Brenix,US
276,Jason,US
277,Nathan,US
278,Tom,GB
279,Dennis,BE
280,Alvaro,CO
281,Josh,CA
282,Robert,GB
283,Artur,PL
284,Hodash,FR
285,Ronnie,DK
286,Lukas,SE
287,KS,US
288,George,US
289,gdjevans,GB
290,Donald,GB
291,Jonathan,US
292,AledDavy,GB
293,Julie,GB
294,Adrian,CH
295,Jeremy,US
296,Jason,US
297,Hilary,GB
298,Sami,FI
299,Riccardo,IT
300,Dan,DK
301,Jacob,US
302,Zachary,US
303,jedundon,US
304,Markus,DE
305,Girish,US
306,Tim,US
307,Daniel,ES
308,Alicia,US
309,Shane,GB
310,Scott,US
311,Jeremy,US
312,Sergio,ES
313,Joe,US
314,Tim,AU
315,Ray,US
316,Danny,US
317,Cam,AU
318,Kaitlyn,US
319,coder1000,US
320,W.,US
321,Peter,US
322,Dene,AU
323,Travis,US
324,Robert,US
325,Sweeny,GB
326,Lee,GB
327,Ixsul,ES
328,Ervin,AU
329,MrTizio,IT
330,Evan,US
332,Anthony,AU
333,haidyll,SG
334,JACK,HK
335,Ron,US
336,Brandon,US
337,Geoff,US
338,Tyler,CA
339,Daniel,AU
340,David,US
341,Elijah,US
342,Andres,US
343,Alain,CA
344,Richard,US
345,Jason,US
346,Shredder,GB
347,Martin,US
348,Jon,US
349,Todd,US
350,Jason,CA
351,Circle,US
352,Stuart,AU
353,Johnathan,US
354,James,US
355,Jason,US
356,Sean,CA
357,Mallock,NZ
358,Nikolay,BG
359,Carlos,US
360,Dan,US
361,Chris,US
362,Anton,FI
363,David,NZ
364,JH,AU
365,rabdt,US
366,Žiga,SI
367,Paul,GB
368,Alistair,GB
369,Vicente,ES
370,David,NO
371,Daniel,GB
372,Lee,GB
374,DerSkuggan,DE
375,Will,GB
376,Simon,IE
377,David,SE
378,Zerotown,NL
379,Phillip,AU
380,Nik,GB
381,Raanan,IL
382,Jeff,US
383,Teunisnl,NL
384,Will,GB
385,Ken,US
386,Mark,GB
387,Jeremy,US
388,JMosher,US
390,Steve,US
391,Visa,FI
392,Mladen,US
394,Joe,US
395,Logan,US
396,Bradley,GB
397,Jeff,US
398,Jesse,US
399,Rich,US
400,Jarrard,AU
401,Mario,US
402,Penley,CA
403,Jack,DK
404,Harry,GB
405,Andreas,BE
406,Joel,GB
407,Lewis,GB
408,David,US
409,Uros,SI
410,Jin,CA
411,Jason,US
413,Wulf,US
414,Jason,US
415,Nikki,GB
416,Stan,US
417,James,US
418,RobG88,US
419,Robert,US
420,Kridsadar,TH
421,Shawn,US
423,Joshua,US
424,Martin,US
425,Paul,SG
426,Jason,AU
427,Steef,NL
428,Valentijn,BE
429,Simon,GB
430,Jeroen,BE
431,Darren,GB
432,Ryan,GB
433,MI,DE
435,Annie,US
436,Puihailure,SG
437,Diego,SE
438,Mark,GB
439,Bryan,US
441,Andrei,RO
442,Daryl,US
443,Russell,US
444,Lewis,GB
445,Jonas,BE
446,Raminski,GB
447,Joey,US
448,Jonathan,GB
449,insanity,GB
450,Daniel,DK
451,Kevin,US
452,Lee,CA
453,Jordan,US
454,Drew,US
455,ChromaticRanger,GB
456,Stephen,US
457,Adam,US
459,Sam,US
462,Eric,US
463,Timothy,US
464,Brad,US
465,Ryan,US
466,Harvey,DE
467,Samuel,AU
468,Michael,CH
469,Ashley,GB
470,Daniel,US
471,Kyle,CA
472,Stefan,DE
473,Jason,US
474,Harold,US
475,Kalle,DE
476,Paul,GB
478,Alex,US
479,Barnes,US
480,Danny,US
481,Kevin,US
482,Sagan,US
483,Matthew,US
484,adiedrichsen,US
485,Isaac,AU
486,Bruno,BR
487,Sibelius,DE
488,Aramir,FR
489,Marcus,US
490,James,US
491,Andres,EE
492,Michael,US
493,Phil,GB
494,Megan,US
495,Krishvanth,IN
496,Einar,NO
497,David,GB
498,Rafael,BR
499,Fred,NL
500,F.Manuel,IT
501,Roy,US
502,Isabelle,US
503,Jeremiah,US
504,Alexander,SE
505,Thomas,AU
506,Manuel,MX
507,James,GB
508,Jörg,DE
509,Richard,SE
510,Owen,US
511,Nathan,CA
512,Abel,US
513,Ric,US
514,François,CA
515,Garrett,US
516,Josh,US
517,Jason,CA
518,Brett,US
519,Nathan,CA
520,Diego,IT
521,Matthew,CA
522,Robert,US
523,Kent,NO
524,mdtommyd,US
525,Jizhou,FI
526,William,US
527,Ryan,CA
528,Yoshi,AU
529,Daniele,GB
530,Alasdair,GB
531,Carlos,ES
532,Tim_the_Unlucky,GB
533,Kim,US
534,Moinuddin,CA
535,Robert,US
536,Bernardo,BR
537,Melanie,US
538,Tiffany,US
539,Paul,GB
540,Tero,FI
541,Jack,GB
542,Chris,GB
543,Boaike,NL
544,Kathy,US
545,wirelessMike,US
546,Jack,US
547,Joshua,US
548,Juan,MX
549,Ubersnug,GB
550,Leonard,US
551,Chris,GB
552,Matthew,GB
553,Thomas,US
554,Chris,US
555,Tiggaa,GB
556,Mike,NL
557,Alan,US
558,Peter,GB
559,Jamie,GB
561,Tim,GB
562,Lucky,NZ
564,Benjamin,US
565,kelby,US
566,BVAC,AU
567,Vince,US
568,Glenn,US
569,Keith,GB
570,Charlie,GB
571,Julien,FR
572,Sham,GB
573,Andrew,US
574,Robert,GB
575,Joshua,US
576,John,PR
578,Valerio,IT
579,Sean,IE
580,Jonathan,US
581,John,IE
582,Wumble,US
583,Alejandro,CO
584,Breakfall,CA
585,Ray,IE
586,Marc,DE
587,crimsaber,US
588,Tim,US
589,Daniel,CA
590,Vinny,CA
591,Jan,NO
592,Nick,GB
593,Arkii,US
594,Andy,GB
596,James,US
597,Jeremy,ZA
598,Steven,GB
599,Winston,CA
600,Peter,IE
601,Adam,GB
602,Dean,US
603,Robert,PL
604,Brian,US
605,Jorge,AR
606,John,US
607,Pam,US
608,Justin,AU
609,Rachel,US
610,Rich,US
611,Martin,GB
612,Jong-won,KR
613,Azhar,MY
614,Stuart,GB
615,Timothy,US
616,Andrew,AU
617,Roberto,SG
618,Matt,US
619,Ty,AU
620,Nicholas,AU
621,Tiago,CA
622,Owen,US
623,Julius,DE
624,Victor,SE
625,Florian,DE
626,Miguel,DK
627,Sam,GB
628,Zizwani,GB
629,Christopher,GB
630,Ellen,DE
631,DJ,SG
632,Ruben,GB
633,Stephen,CH
634,Reynaldo,GB
635,Juliette,AU
636,Morpheus.Tsai,TW
637,Oenning,DE
638,Eric,US
639,Niclas,DK
640,Serge,GB
641,Ashton,AU
642,Rick,US
644,Kyle,US
645,Rasmus,DK
646,Thom,CA
647,Alberto,US
648,David,GB
650,Okily,US
651,Erik,US
652,Kevin,IE
653,Jeff,US
654,Pyropuncher,GB
655,Ryker,US
656,Arnid,US
657,Manuel,GB
658,Michael,DE
659,Andy,GB
660,Ove,SE
661,Tony,GB
662,Drac,CA
663,Chris,US
664,Lee,GB
665,Sebastien,CA
666,Kurt,US
667,Andreas,DE
668,Garrett,US
669,LU,MY
670,Chad,US
671,Jon,US
672,Legend-Dark,SA
673,Paul,GB
674,Alan,IE
675,OzzieMandrill,IT
676,Casey,US
677,Andreas,AU
678,Martin,DE
679,Nelson,CA
680,Francisco,US
681,Ken,US
682,Darren,GB
683,Michael,US
684,Michiel,NL
685,Maxim,RU
686,Bitstream,DE
687,brodiebolt,GB
688,Sean,DK
689,Magnus,DK
690,Aspartza,ES
691,James,US
692,Sonia,US
693,Kenneth,US
694,Andree,US
695,Cat,GB
696,Sandina,US
697,Darren,US
698,Mason,US
699,John,CA
700,Raymond,US
702,Jeremy,US
703,Fabio,BE
704,Chris,GB
705,Julian,DE
706,Vanessa,US
707,Tarik,GB
708,Andrew,GB
709,John,NL
710,Robert,US
711,Robin,GB
712,Jay,US
713,Marko,CH
714,Luke,GB
715,Stephen,US
716,Red,US
717,Kieron,GB
718,Brian,US
719,Lucy,GB
720,Brian,US
721,Eoin,IE
722,Aquiles,MX
723,Manish,IN
724,Tolja,CZ
725,Shaun,US
726,Ryan,US
727,Joe,US
728,NS,AU
730,Francisco,ES
731,Liam,US
732,Xristoforos,GR
733,James,US
734,Ken,US
735,William,US
736,Trent,AU
737,Steve,GB
738,escavenger,US
739,Jennifer,US
740,Neil,GB
741,James,US
742,john,GB
743,Ryan,GB
744,Inkspace,US
745,Daniel,GB
746,Ben,GB
747,Randy,US
748,Michael,GB
749,Dallas,US
750,Albert,US
751,A,US
752,Joe,CA
753,Scott,US
754,Terrence,US
755,Jeremiah,US
756,Sean,US
757,Paul,US
758,Jose,US
759,Joshua,US
760,Marion,PH
761,Scott,US
762,Ben,HU
763,Daniel,US
764,Ran,GB
765,Firas,GB
766,Esau,ES
767,Tyler,US
768,Jason,US
769,jskala,US
770,Victor,ZA
771,Andy,GB
772,Sean,US
773,Dangerful,US
774,Andy,GB
775,Bryan,CA
776,thebasicwizard,GB
777,Dominic,US
778,PalverZ,US
779,Teagan,US
781,Jared,US
782,Borja,ES
783,Weston,US
784,Thomas,AT
785,Joel,US
786,Victor,US
787,Paul,NL
788,Jonathan,US
789,Julius,MY
790,Carlos,US
791,John,US
792,Ludo,ES
793,Nikola,BG
795,gabriel,BR
796,Virtual,AU
797,Cameron,US
798,Ross,GB
799,Ian,US
800,Mike,US
801,Ahmed,US
802,Christopher,US
803,Martin,NO
804,Neil,GB
805,Connor,GB
806,Richard,CA
807,Barrie,US
808,Samuel,GB
809,Patric,DE
810,Vinícius,BR
811,golazodave,AU
812,Cheryl,GB
813,Mike,US
814,Mark,US
815,UnstableVoltage,GB
816,Leslie,CA
817,Ben,US
818,Carla,US
819,Tim,US
820,Skevos,AU
821,Jason,US
822,Paul,GB
823,Stefan,US
824,Sambasiva,US
825,Antti,FI
826,DDW,US
827,Arnold,US
829,Brandon,US
830,Hunkerbull,US
831,Ian,US
832,Kyle,CA
833,Michael,DE
834,Joshua,CA
835,Devin,AU
836,Dale,AU
837,Azerothian,AU
838,Warren,CA
839,Jannis,DE
840,Ousama,QA
841,Milan,US
842,Gabriel,US
843,Larry,CA
844,Jesse,US
845,Stefan,AT
846,Olga,RU
847,AJ,US
848,Ijaz,US
849,Andy,US
850,Rencir,GR
851,Andrey,US
852,S.,US
853,Andrew,CA
854,Mert,TR
855,Paul,US
856,Woody,US
857,Marcel,NL
858,Kenneth,US
860,Jakob,DK
861,Echo,DE
862,Steffen,DE
863,Tim,GB
864,Tapasvi,US
865,Christopher,US
866,Imtiaz,US
867,Leonso,MX
